OBJECTID,AspenRank,ACRES,Comment,Shape_STAr,Shape_STLe
"4673",S1,0.5822305,Vegetation,25361.85839840000,1078.79528976000
"4674",S1,2.0674257,Vegetation,90056.70507810000,2814.53794307000
"4675",S1,0.0033729,Vegetation,146.92089843800,71.38751487280
"4676",S1,2.4562386,Vegetation,106993.32910200000,2491.23314992000
"4677",S1,0.0760206,Vegetation,3313.24316406000,343.85086457900
"4678",S1,0.1869406,Vegetation,8145.55468750000,1096.44874740000
"4679",S1,0.0294550,Vegetation,1283.05566406000,240.18114532400
"4680",S1,1.0920322,Vegetation,47568.73632810000,1450.28974143000
"4681",S1,0.0072542,Vegetation,315.99218750000,101.09756999900
"4682",S1,1.5263326,Vegetation,66486.78417970000,1580.38345132000
"4683",S1,1.6267691,Vegetation,70861.77832030000,2287.50176042000
"4684",S1,0.3836009,Vegetation,16709.58789060000,865.42273943400
"4685",S1,0.0915021,Vegetation,3985.81347656000,250.95683764300
"4686",S1,28.0519007,Vegetation,1221942.09765999997,20255.71261110000
"4687",S1,0.4805499,Vegetation,20932.66699220000,1060.88011439000
"4688",S1,4.2204057,Vegetation,183840.13378900001,3568.13082369000
"4689",S1,6.6989396,Vegetation,291804.63574200001,4462.83269425000
"4690",S1,0.1689820,Vegetation,7362.57519531000,357.35882633000
"4691",S1,0.0070080,Vegetation,305.26757812500,92.49106768490
"4692",S1,1.7700101,Vegetation,77101.34179690000,1856.98957235000
"4693",S1,0.3448353,Vegetation,15020.96582030000,500.00401037800
"4694",S1,0.3579518,Vegetation,15592.31738280000,626.51083608500
"4695",S1,0.5797670,Vegetation,25267.28515630000,999.56431645000
"4696",S1,2.1384313,Vegetation,93151.21875000000,1963.99896645000
"4697",S1,0.0244562,Vegetation,1065.30859375000,211.86290837000
"4698",S1,0.4647276,Vegetation,20243.45507810000,665.78300289900
"4699",S1,1.2755785,Vegetation,55563.98437500000,1217.07598939000
"4700",S1,1.3961551,Vegetation,60816.27148440000,1930.50377827000
"4701",S1,0.2894484,Vegetation,12611.22753910000,586.60542083100
"4702",S1,0.0057419,Vegetation,250.11425781300,110.33374607100
"4703",S1,6.0253345,Vegetation,262462.52831999998,4387.44065807000
"4704",S1,4.8381827,Vegetation,210750.39257800000,5024.40320815000
"4705",S1,0.0885659,Vegetation,3857.91503906000,257.99788476300
"4706",S1,1.4865727,Vegetation,64754.85058590000,1638.10118675000
"4707",S1,0.1193693,Vegetation,5199.70312500000,271.84465628500
"4708",S1,3.2129270,Vegetation,139954.53906300000,2472.34520398000
"4709",S1,3.6891837,Vegetation,160700.19531300000,3262.33522714000
"4710",S1,2.7072002,Vegetation,117936.15234400000,2510.18479756000
"4711",S1,2.1176231,Vegetation,92243.29199220000,1371.36285715000
"4712",S1,2.8154144,Vegetation,122638.96191400000,2689.33716444000
